Time,Pitch (x),Yaw (y),Roll (z)
9.64,3.8306358,10.714916,4.472445
9.67,3.8347158,10.744292,4.4912133
9.72,3.837973,10.754878,4.516457
9.78,3.8518584,10.755694,4.5189075
9.83,3.8477945,10.791457,4.524597
9.88,3.8640938,10.809386,4.5188923
9.91,3.885285,10.821612,4.5205226
9.95,3.9072874,10.827316,4.549859
10.01,3.9211788,10.825682,4.554762
10.06,3.945592,10.826495,4.5596447
10.09,3.9578164,10.844424,4.574314
10.14,3.971654,10.8395405,4.576756
10.19,3.9814343,10.851766,4.5889816
10.25,3.9871392,10.87377,4.575127
10.3,4.0001874,10.881109,4.5946994
10.33,3.9977438,10.901473,4.6028447
10.38,3.9912252,10.921029,4.6142526
10.42,3.9969304,10.93407,4.6305532
10.49,4.0083537,10.9471245,4.6452403
10.51,4.0140514,10.952008,4.655008
10.56,4.018126,10.960157,4.694125
10.61,4.009976,10.965048,4.7128706
10.67,4.0124207,10.990312,4.725095
10.72,4.04015,10.998467,4.713677
10.75,4.042595,11.001727,4.712047
10.8,4.0393353,10.996023,4.7413826
10.84,4.0483046,11.005808,4.7470903
10.91,4.0426006,11.02129,4.779683
10.94,4.0621767,11.062074,4.798444
10.99,4.072007,11.06617,4.826297
11.03,4.08415,11.075884,4.8271065
11.08,4.0857797,11.078329,4.831181
11.14,4.1118617,11.0791445,4.8621535
11.17,4.1322393,11.093001,4.8972034
11.22,4.1542387,11.104408,4.9012775
11.27,4.1566844,11.113377,4.913507
11.31,4.1583138,11.110932,4.934688
11.36,4.174614,11.145163,4.9697337
11.41,4.1868386,11.150867,4.989293
11.45,4.197433,11.172872,5.010482
11.5,4.199878,11.170426,5.0218935
11.53,4.2137446,11.190002,5.036576
11.59,4.2316556,11.194073,5.0585575
11.64,4.2463255,11.204668,5.0642624
11.69,4.252847,11.205483,5.0870886
11.74,4.286248,11.220962,5.1131577
11.77,4.281358,11.221777,5.134349
11.83,4.2878776,11.217702,5.1645036
11.88,4.3090744,11.240529,5.165319
11.92,4.323741,11.252751,5.185689
11.95,4.3270044,11.268252,5.196295
12,4.3416653,11.277212,5.217472
12.06,4.3498106,11.278841,5.228875
12.11,4.36937,11.30492,5.2142057
12.16,4.3807793,11.330184,5.2190957
12.19,4.388121,11.318764,5.21828
12.24,4.4003363,11.32935,5.2459674
12.3,4.415821,11.348095,5.2451525
12.34,4.4402666,11.351355,5.2728577
12.38,4.4427114,11.367655,5.2924175
12.42,4.4459734,11.391306,5.2907863
12.47,4.461452,11.3790865,5.298933
12.53,4.4850802,11.405973,5.3241906
12.58,4.4801903,11.416568,5.3690143
12.61,4.4744816,11.45082,5.3885865
12.66,4.5005426,11.471994,5.3991737
12.72,4.5380597,11.477703,5.391018
12.77,4.5413175,11.472816,5.419522
12.8,4.566583,11.488302,5.4415274
12.84,4.5869555,11.494822,5.479013
12.89,4.605701,11.495637,5.5042787
12.95,4.604886,11.508676,5.522207
13,4.6163063,11.510307,5.5483108
13.03,4.62934,11.535561,5.562159
13.08,4.6497073,11.53719,5.559715
13.13,4.6651926,11.521705,5.5776453
13.19,4.663562,11.552689,5.5654144
13.22,4.676595,11.554317,5.5800767
13.27,4.7034936,11.568174,5.6110506
13.31,4.7100134,11.57062,5.6281652
13.36,4.723866,11.578769,5.642018
13.42,4.7564664,11.593439,5.658318
13.45,4.7532063,11.589364,5.670544
13.5,4.7654343,11.611375,5.6754355
13.55,4.7719517,11.628484,5.6852117
13.59,4.784991,11.643968,5.7129197
13.64,4.806182,11.652118,5.7308507
13.69,4.8118873,11.650488,5.7381864
13.74,4.8110723,11.665155,5.765892
13.78,4.8291144,11.661875,5.7626114
13.83,4.859986,11.665124,5.769923
13.88,4.861615,11.67816,5.797624
13.92,4.8681335,11.7107525,5.8155503
13.97,4.8754478,11.720505,5.8017344
